model,N,alpha_m,alpha_ann,alpha_t,alpha_p,alpha_ci_lo_ann,alpha_ci_hi_ann,beta,beta_t,r2,r2_adj,smb,hml,mom,group,construction
CAPM,59,0.0009398669683122022,0.011278403619746425,0.22204843639549116,0.8242761775748749,-0.08827314133433475,0.11082994857382761,-0.37158312434812,-2.2940457997695627,0.1855193077468399,0.17123017279503006,,,,trackB_agriculture,long_short
FF4,59,0.0019279960370760655,0.023135952444912785,0.47240945336425894,0.6366345580520332,-0.07285203682399793,0.11912394171382351,-0.4401584744027294,-2.392181697517879,0.21365201752253848,0.15540401882050425,0.11830489620251673,0.03773489809675982,-0.1388795073257318,trackB_agriculture,long_short
CAPM,59,-0.0017583092448903697,-0.021099710938684436,-0.31472346222461234,0.7529716285806005,-0.15249974458000617,0.11030032270263732,1.2376350913333904,6.596700477190692,0.6219712100150504,0.6153391259802268,,,,trackB_armed_services,long_only
FF4,59,0.00039344220822991067,0.004721306498758928,0.09743008307906217,0.9223848555255313,-0.0902554235326969,0.09969803653021475,1.0825425429066073,6.715371741725959,0.6906058199269958,0.6676877325141806,0.6222376682344352,0.1391657676728928,-0.12069256141547319,trackB_armed_services,long_only
CAPM,59,-0.007712618661297972,-0.09255142393557567,-1.7093908261544788,0.08737857910482545,-0.19866961227270763,0.013566764401556318,-0.012491691962762529,-0.06022880819284001,0.0002803514147508013,-0.017258589788499146,,,,trackB_armed_services,long_short
FF4,59,-0.007680258633738836,-0.09216310360486604,-1.578203481698427,0.11451887065268715,-0.20662005789733423,0.022293850687602174,-0.013460538352165648,-0.06055813439832762,0.0011216712335794243,-0.07286931608245184,-0.03003239018703271,-0.016001423869351543,-0.020301388214845985,trackB_armed_services,long_short
CAPM,59,-0.0044506517443680975,-0.053407820932417166,-1.1113931709862857,0.26639915050973617,-0.14759357648048121,0.04077793461564688,1.100462325530091,13.361094141333794,0.8745152364707405,0.8723137493912798,,,,trackB_combined,long_only
FF4,59,-0.003503069136137012,-0.04203682963364414,-1.1955304497672286,0.23187984670643202,-0.11095240775399245,0.026878748486704164,1.0249529112093665,19.079540145830926,0.9133169261954804,0.906895957765516,0.14555940820655747,0.19006136619918645,-0.13147370920621654,trackB_combined,long_only
CAPM,59,-0.0028916514067477087,-0.034699816880972505,-1.5398510878417742,0.1235966556799905,-0.07886667943919765,0.00946704567725263,-0.11075479936436765,-1.0267509175273377,0.09262302749087226,0.07670413323632608,,,,trackB_combined,long_short
FF4,59,-0.0031237370412723862,-0.037484844495268635,-1.511114709536939,0.130759227621747,-0.08610388361462484,0.011134194624087566,-0.09709199285410462,-1.0736884068357453,0.10184429303285769,0.03531424066492117,-0.009907055438979394,0.028746235329601307,0.03818702030989124,trackB_combined,long_short
CAPM,54,-0.014194363006427055,-0.17033235607712466,-0.9588244506592173,0.3376471894428402,-0.5185142188607541,0.17784950670650485,1.2555861950595464,2.7369174788805677,0.40972515657160824,0.39837371727490845,,,,trackB_energy_commerce,long_only
FF4,54,-0.01299145126820843,-0.15589741521850117,-1.6424345317002946,0.10049998346036271,-0.3419342484765254,0.030139418039523073,1.0348308524304883,3.143935940952149,0.6438996796477295,0.6148302657414217,0.24859274199802445,0.9481602576346042,-0.45075535854707627,trackB_energy_commerce,long_only
CAPM,59,-0.008317557735506647,-0.09981069282607977,-1.5136906177698624,0.1301043256535988,-0.22904804219891509,0.029426656546755588,0.202241030546133,0.518571968249459,0.035195069591960615,0.01826866730410026,,,,trackB_energy_commerce,long_short
FF4,59,-0.006250668855190568,-0.07500802626228681,-1.1778072835525861,0.23887344428847723,-0.19982728326508403,0.04981123074051039,0.0626959549815564,0.17146420363189838,0.10358708982292464,0.03718613351351152,0.21455077471957862,0.01941537248848691,-0.30167787083975783,trackB_energy_commerce,long_short
CAPM,59,-0.01638425780847289,-0.19661109370167468,-1.3996715861493307,0.16161168622485567,-0.4719261507690682,0.07870396336571886,1.3962367530877609,8.182906322214613,0.6390496075795091,0.6327171445545883,,,,trackB_financial_services,long_only
FF4,59,-0.014631495112934972,-0.17557794135521965,-1.5885210422995648,0.11216856669931374,-0.3922111696049091,0.041055286894469814,1.245249082181084,9.153420952513503,0.7514287620363588,0.7330160777427557,0.05666588199574814,0.5547518147719764,-0.3718491144070642,trackB_financial_services,long_only
CAPM,59,-0.0020809004021022127,-0.024970804825226553,-0.43534583277344985,0.6633114215858796,-0.1373914930184037,0.08744988336795059,-0.31245753720429,-2.1813977095354966,0.1290600526586363,0.11378040445966497,,,,trackB_financial_services,long_short
FF4,59,-0.005147924336224702,-0.061775092034696416,-1.403537919113008,0.160456492785376,-0.14804063134137152,0.024490447271978667,-0.12053901656886148,-0.9308002678206592,0.36523534573725025,0.3182157417177872,-0.4265262787522487,0.2258774621663854,0.36766240474993994,trackB_financial_services,long_short
CAPM,58,0.002580053025988735,0.030960636311864822,0.7559923936352579,0.44965375618950276,-0.049307012702306405,0.11122828532603604,0.7375926241360111,8.811552609027522,0.6071538424462766,0.6001387324899601,,,,trackB_health,long_only
